defect_id,defect_type,node_id,link_id,intensity_pct,start_hour,duration_h,flow,BODf,NH4,DO,baseline_flow,curriculum_difficulty
53,I,HS1313835,,10,14,18,6.8177,185.9,15.62,6.71,68.1766,medium
54,I,HS1313835,,10,10,12,6.8177,122.58,10.06,4.41,68.1766,medium
55,I,HS1313835,,15,22,12,10.2265,221.67,14.93,5.05,68.1766,medium
56,I,HS1313835,,5,18,24,3.4088,185.47,10.7,3.97,68.1766,medium
57,I,HS1313835,,5,10,12,3.4088,153.63,15.5,5.23,68.1766,hard
58,I,HS1313835,,5,14,6,3.4088,211.76,13.14,2.48,68.1766,hard
59,I,HS1313835,,10,18,6,6.8177,236.73,17.25,2.55,68.1766,hard
60,I,HS1313835,,5,22,6,3.4088,157.32,15.89,2.55,68.1766,hard
61,I,HS1314477,,15,6,24,34.0723,250.84,16.28,6.0,227.1484,easy
62,I,HS1314477,,15,18,24,34.0723,199.97,12.57,6.43,227.1484,easy
63,I,HS1314477,,15,10,18,34.0723,257.59,10.18,2.04,227.1484,easy
64,I,HS1314477,,10,6,24,22.7148,137.9,16.83,2.41,227.1484,medium
65,I,HS1314477,,10,14,18,22.7148,125.07,11.77,5.85,227.1484,medium
66,I,HS1314477,,10,10,12,22.7148,212.48,16.37,2.66,227.1484,medium
67,I,HS1314477,,15,22,12,34.0723,203.48,14.33,4.81,227.1484,medium
68,I,HS1314477,,5,18,24,11.3574,250.16,15.42,5.96,227.1484,medium
69,I,HS1314477,,5,10,12,11.3574,151.2,12.22,6.41,227.1484,hard
70,I,HS1314477,,5,14,6,11.3574,241.12,16.78,2.21,227.1484,hard
71,I,HS1314477,,10,18,6,22.7148,128.8,18.0,5.36,227.1484,hard
72,I,HS1314477,,5,22,6,11.3574,172.0,17.26,6.47,227.1484,hard
73,I,HS1316563,,15,6,24,6.966,212.6,13.61,4.5,46.4402,easy
74,I,HS1316563,,15,18,24,6.966,159.6,15.99,3.59,46.4402,easy
75,I,HS1316563,,15,10,18,6.966,176.02,17.7,2.54,46.4402,easy
76,I,HS1316563,,10,6,24,4.644,257.23,14.62,3.98,46.4402,medium
77,I,HS1316563,,10,14,18,4.644,200.35,10.19,2.38,46.4402,medium
78,I,HS1316563,,10,10,12,4.644,151.02,15.89,5.34,46.4402,medium
79,I,HS1316563,,15,22,12,6.966,217.66,17.36,6.62,46.4402,medium
80,I,HS1316563,,5,18,24,2.322,150.66,14.35,5.1,46.4402,medium
81,I,HS1316563,,5,10,12,2.322,221.04,12.13,3.93,46.4402,hard
82,I,HS1316563,,5,14,6,2.322,228.56,14.57,2.45,46.4402,hard
83,I,HS1316563,,10,18,6,4.644,177.22,13.25,5.99,46.4402,hard
84,I,HS1316563,,5,22,6,2.322,172.98,10.53,3.37,46.4402,hard
85,I,HS1330842,,15,6,24,1.2925,203.96,14.29,5.19,8.6168,easy
86,I,HS1330842,,15,18,24,1.2925,212.77,12.48,6.22,8.6168,easy
87,I,HS1330842,,15,10,18,1.2925,136.35,15.3,4.68,8.6168,easy
88,I,HS1330842,,10,6,24,0.8617,124.46,14.55,5.15,8.6168,medium
89,I,HS1330842,,10,14,18,0.8617,200.04,16.71,5.13,8.6168,medium
90,I,HS1330842,,10,10,12,0.8617,221.45,11.18,5.73,8.6168,medium
91,I,HS1330842,,15,22,12,1.2925,169.37,15.3,3.18,8.6168,medium
92,I,HS1330842,,5,18,24,0.4308,129.56,13.59,3.27,8.6168,medium
93,I,HS1330842,,5,10,12,0.4308,138.1,10.08,2.41,8.6168,hard
94,I,HS1330842,,5,14,6,0.4308,234.72,14.85,4.54,8.6168,hard
95,I,HS1330842,,10,18,6,0.8617,120.53,16.33,2.58,8.6168,hard
96,I,HS1330842,,5,22,6,0.4308,192.95,14.06,3.16,8.6168,hard
97,I,HS2003046,,15,6,24,11.1296,174.99,11.59,3.72,74.1972,easy
98,I,HS2003046,,15,18,24,11.1296,138.16,14.52,4.63,74.1972,easy
99,I,HS2003046,,15,10,18,11.1296,137.71,11.5,6.34,74.1972,easy
100,I,HS2003046,,10,6,24,7.4197,209.25,17.1,6.85,74.1972,medium
101,I,HS2003046,,10,14,18,7.4197,254.66,14.32,5.64,74.1972,medium
102,I,HS2003046,,10,10,12,7.4197,205.39,12.14,6.44,74.1972,medium
103,I,HS2003046,,15,22,12,11.1296,225.71,13.37,6.0,74.1972,medium
104,I,HS2003046,,5,18,24,3.7099,206.58,15.93,5.38,74.1972,medium
105,I,HS2003046,,5,10,12,3.7099,164.88,10.95,6.51,74.1972,hard
106,I,HS2003046,,5,14,6,3.7099,124.99,12.19,2.4,74.1972,hard
107,I,HS2003046,,10,18,6,7.4197,129.64,11.85,6.7,74.1972,hard
108,I,HS2003046,,5,22,6,3.7099,160.35,17.34,3.32,74.1972,hard
109,I,HS2003085,,15,6,24,4.7089,212.23,17.27,4.42,31.3929,easy
110,I,HS2003085,,15,18,24,4.7089,221.56,14.45,6.5,31.3929,easy
111,I,HS2003085,,15,10,18,4.7089,215.62,11.5,3.84,31.3929,easy
112,I,HS2003085,,10,6,24,3.1393,254.67,17.67,3.92,31.3929,medium
113,I,HS2003085,,10,14,18,3.1393,228.48,13.26,6.46,31.3929,medium
114,I,HS2003085,,10,10,12,3.1393,246.16,11.29,6.62,31.3929,medium
115,I,HS2003085,,15,22,12,4.7089,226.87,13.27,3.7,31.3929,medium
116,I,HS2003085,,5,18,24,1.5696,150.52,16.82,5.9,31.3929,medium
117,I,HS2003085,,5,10,12,1.5696,258.55,12.01,3.9,31.3929,hard
118,I,HS2003085,,5,14,6,1.5696,210.6,10.55,5.84,31.3929,hard
119,I,HS2003085,,10,18,6,3.1393,202.66,13.2,3.13,31.3929,hard
120,I,HS2003085,,5,22,6,1.5696,148.9,11.06,6.36,31.3929,hard
121,I,HS2003111,,15,6,24,4.4582,159.18,14.56,5.89,29.7212,easy
122,I,HS2003111,,15,18,24,4.4582,212.01,17.49,3.89,29.7212,easy
123,I,HS2003111,,15,10,18,4.4582,242.05,15.21,2.28,29.7212,easy
124,I,HS2003111,,10,6,24,2.9721,145.75,15.42,3.56,29.7212,medium
125,I,HS2003111,,10,14,18,2.9721,149.15,17.16,3.49,29.7212,medium
126,I,HS2003111,,10,10,12,2.9721,252.61,16.67,6.45,29.7212,medium
127,I,HS2003111,,15,22,12,4.4582,221.07,16.98,6.55,29.7212,medium
128,I,HS2003111,,5,18,24,1.4861,148.08,11.3,2.43,29.7212,medium
129,I,HS2003111,,5,10,12,1.4861,161.87,15.77,6.14,29.7212,hard
130,I,HS2003111,,5,14,6,1.4861,215.29,10.62,3.04,29.7212,hard
131,I,HS2003111,,10,18,6,2.9721,144.69,12.36,5.64,29.7212,hard
132,I,HS2003111,,5,22,6,1.4861,152.58,12.66,3.35,29.7212,hard
133,I,MH0201710,,15,6,24,2.3569,125.44,16.46,6.13,15.7126,easy
134,I,MH0201710,,15,18,24,2.3569,228.15,12.75,2.45,15.7126,easy
135,I,MH0201710,,15,10,18,2.3569,146.38,12.79,4.59,15.7126,easy
136,I,MH0201710,,10,6,24,1.5713,187.49,10.12,5.11,15.7126,medium
137,I,MH0201710,,10,14,18,1.5713,206.06,13.69,6.87,15.7126,medium
138,I,MH0201710,,10,10,12,1.5713,254.86,15.6,6.62,15.7126,medium
139,I,MH0201710,,15,22,12,2.3569,131.24,14.95,4.83,15.7126,medium
140,I,MH0201710,,5,18,24,0.7856,135.04,16.02,2.25,15.7126,medium
141,I,MH0201710,,5,10,12,0.7856,131.61,14.32,2.04,15.7126,hard
142,I,MH0201710,,5,14,6,0.7856,158.69,14.55,5.87,15.7126,hard
143,I,MH0201710,,10,18,6,1.5713,242.73,17.47,3.68,15.7126,hard
144,I,MH0201710,,5,22,6,0.7856,155.43,15.16,6.04,15.7126,hard
145,E,HS1306601,,15,4,24,-21.5999,177.86,17.81,4.53,143.9995,easy
146,E,HS1306601,,15,16,24,-21.5999,211.6,15.66,6.41,143.9995,easy
147,E,HS1306601,,15,8,18,-21.5999,174.16,10.93,4.25,143.9995,easy
148,E,HS1306601,,10,0,24,-14.4,137.56,12.8,5.93,143.9995,medium
149,E,HS1306601,,10,4,18,-14.4,164.07,15.97,5.66,143.9995,medium
150,E,HS1306601,,10,12,18,-14.4,254.02,15.18,4.34,143.9995,medium
151,E,HS1306601,,10,8,12,-14.4,177.69,12.22,4.87,143.9995,medium
152,E,HS1306601,,15,20,12,-21.5999,185.71,15.95,3.59,143.9995,medium
153,E,HS1306601,,5,0,12,-7.2,126.14,14.3,6.87,143.9995,hard
154,E,HS1306601,,5,12,6,-7.2,178.89,14.29,6.47,143.9995,hard
155,E,HS1306601,,5,20,6,-7.2,162.38,15.47,3.74,143.9995,hard
156,E,HS1306601,,10,16,6,-14.4,177.62,16.57,3.34,143.9995,hard
157,E,HS1308259,,15,4,24,-1.8444,248.91,16.66,6.61,12.2961,easy
158,E,HS1308259,,15,16,24,-1.8444,177.68,10.9,4.7,12.2961,easy
159,E,HS1308259,,15,8,18,-1.8444,255.67,17.17,6.23,12.2961,easy
160,E,HS1308259,,10,0,24,-1.2296,215.72,10.11,6.61,12.2961,medium
161,E,HS1308259,,10,4,18,-1.2296,128.2,14.23,4.11,12.2961,medium
162,E,HS1308259,,10,12,18,-1.2296,232.91,11.67,2.75,12.2961,medium
163,E,HS1308259,,10,8,12,-1.2296,128.22,15.11,5.59,12.2961,medium
164,E,HS1308259,,15,20,12,-1.8444,221.64,10.28,6.16,12.2961,medium
165,E,HS1308259,,5,0,12,-0.6148,146.5,14.7,5.25,12.2961,hard
166,E,HS1308259,,5,12,6,-0.6148,141.58,17.96,2.2,12.2961,hard
167,E,HS1308259,,5,20,6,-0.6148,254.76,12.83,3.91,12.2961,hard
168,E,HS1308259,,10,16,6,-1.2296,166.95,17.4,5.74,12.2961,hard
169,E,HS1308302,,15,4,24,-4.1981,247.15,11.82,6.12,27.9871,easy
170,E,HS1308302,,15,16,24,-4.1981,146.65,13.35,2.68,27.9871,easy
171,E,HS1308302,,15,8,18,-4.1981,184.76,10.75,3.92,27.9871,easy
172,E,HS1308302,,10,0,24,-2.7987,255.45,17.18,5.04,27.9871,medium
173,E,HS1308302,,10,4,18,-2.7987,183.05,16.85,6.5,27.9871,medium
174,E,HS1308302,,10,12,18,-2.7987,251.64,13.52,3.24,27.9871,medium
175,E,HS1308302,,10,8,12,-2.7987,210.12,16.86,2.9,27.9871,medium
176,E,HS1308302,,15,20,12,-4.1981,173.38,13.83,3.5,27.9871,medium
177,E,HS1308302,,5,0,12,-1.3994,225.23,17.97,4.33,27.9871,hard
178,E,HS1308302,,5,12,6,-1.3994,252.35,13.03,2.09,27.9871,hard
179,E,HS1308302,,5,20,6,-1.3994,165.9,10.29,5.72,27.9871,hard
180,E,HS1308302,,10,16,6,-2.7987,249.17,15.67,5.44,27.9871,hard
181,E,HS1313402,,15,4,24,-15.4313,235.87,12.52,6.6,102.8754,easy
182,E,HS1313402,,15,16,24,-15.4313,222.83,13.2,4.99,102.8754,easy
183,E,HS1313402,,15,8,18,-15.4313,135.45,14.7,2.96,102.8754,easy
184,E,HS1313402,,10,0,24,-10.2875,237.6,12.15,3.72,102.8754,medium
185,E,HS1313402,,10,4,18,-10.2875,150.66,11.81,2.95,102.8754,medium
186,E,HS1313402,,10,12,18,-10.2875,179.18,10.5,5.13,102.8754,medium
187,E,HS1313402,,10,8,12,-10.2875,200.53,11.1,3.95,102.8754,medium
188,E,HS1313402,,15,20,12,-15.4313,196.85,14.26,4.73,102.8754,medium
189,E,HS1313402,,5,0,12,-5.1438,210.51,17.23,2.54,102.8754,hard
190,E,HS1313402,,5,12,6,-5.1438,176.11,11.72,6.47,102.8754,hard
191,E,HS1313402,,5,20,6,-5.1438,184.46,15.05,2.81,102.8754,hard
192,E,HS1313402,,10,16,6,-10.2875,199.94,10.11,3.02,102.8754,hard
193,E,HS1313597,,15,4,24,-0.8276,200.94,13.09,6.1,5.517,easy
194,E,HS1313597,,15,16,24,-0.8276,123.2,14.28,5.82,5.517,easy
195,E,HS1313597,,15,8,18,-0.8276,196.9,17.44,3.42,5.517,easy
196,E,HS1313597,,10,0,24,-0.5517,141.58,10.81,2.46,5.517,medium
197,E,HS1313597,,10,4,18,-0.5517,201.68,15.34,2.57,5.517,medium
198,E,HS1313597,,10,12,18,-0.5517,228.56,15.77,3.65,5.517,medium
199,E,HS1313597,,10,8,12,-0.5517,131.38,12.64,4.36,5.517,medium
200,E,HS1313597,,15,20,12,-0.8276,233.39,11.88,6.04,5.517,medium
201,E,HS1313597,,5,0,12,-0.2759,142.51,16.59,5.63,5.517,hard
202,E,HS1313597,,5,12,6,-0.2759,212.73,12.83,4.23,5.517,hard
203,E,HS1313597,,5,20,6,-0.2759,130.01,14.34,2.33,5.517,hard
204,E,HS1313597,,10,16,6,-0.5517,190.18,12.17,5.59,5.517,hard
205,E,HS1314505,,15,4,24,-3.7739,192.43,14.99,4.28,25.1591,easy
206,E,HS1314505,,15,16,24,-3.7739,250.36,14.38,5.05,25.1591,easy
207,E,HS1314505,,15,8,18,-3.7739,128.01,12.51,5.12,25.1591,easy
208,E,HS1314505,,10,0,24,-2.5159,129.21,11.58,2.25,25.1591,medium
209,E,HS1314505,,10,4,18,-2.5159,205.6,12.97,4.7,25.1591,medium
210,E,HS1314505,,10,12,18,-2.5159,158.18,11.68,6.73,25.1591,medium
211,E,HS1314505,,10,8,12,-2.5159,145.49,17.73,6.78,25.1591,medium
212,E,HS1314505,,15,20,12,-3.7739,126.47,17.24,3.58,25.1591,medium
213,E,HS1314505,,5,0,12,-1.258,169.13,10.68,3.69,25.1591,hard
214,E,HS1314505,,5,12,6,-1.258,222.4,10.72,2.37,25.1591,hard
215,E,HS1314505,,5,20,6,-1.258,230.1,12.66,4.45,25.1591,hard
216,E,HS1314505,,10,16,6,-2.5159,219.57,14.85,5.74,25.1591,hard
217,E,HS1316202,,15,4,24,-11.378,153.36,12.14,2.95,75.8532,easy
218,E,HS1316202,,15,16,24,-11.378,258.33,13.69,5.56,75.8532,easy
219,E,HS1316202,,15,8,18,-11.378,250.36,17.46,3.25,75.8532,easy
220,E,HS1316202,,10,0,24,-7.5853,134.51,13.0,4.61,75.8532,medium
221,E,HS1316202,,10,4,18,-7.5853,241.52,15.9,3.62,75.8532,medium
222,E,HS1316202,,10,12,18,-7.5853,128.78,13.17,2.23,75.8532,medium
223,E,HS1316202,,10,8,12,-7.5853,181.39,13.79,5.66,75.8532,medium
224,E,HS1316202,,15,20,12,-11.378,156.27,12.8,5.07,75.8532,medium
225,E,HS1316202,,5,0,12,-3.7927,171.9,16.3,5.53,75.8532,hard
226,E,HS1316202,,5,12,6,-3.7927,187.84,10.79,5.87,75.8532,hard
227,E,HS1316202,,5,20,6,-3.7927,229.17,15.62,4.5,75.8532,hard
228,E,HS1316202,,10,16,6,-7.5853,131.26,10.46,2.78,75.8532,hard
229,E,HS1316585,,15,4,24,-3.7767,249.61,17.07,6.48,25.1783,easy
230,E,HS1316585,,15,16,24,-3.7767,208.39,13.64,3.29,25.1783,easy
231,E,HS1316585,,15,8,18,-3.7767,174.37,13.14,5.17,25.1783,easy
232,E,HS1316585,,10,0,24,-2.5178,243.48,10.7,3.71,25.1783,medium
233,E,HS1316585,,10,4,18,-2.5178,139.08,15.97,2.85,25.1783,medium
234,E,HS1316585,,10,12,18,-2.5178,129.59,13.68,3.42,25.1783,medium
235,E,HS1316585,,10,8,12,-2.5178,200.99,14.82,6.97,25.1783,medium
236,E,HS1316585,,15,20,12,-3.7767,256.68,13.59,6.68,25.1783,medium
237,E,HS1316585,,5,0,12,-1.2589,125.86,16.88,6.7,25.1783,hard
238,E,HS1316585,,5,12,6,-1.2589,174.72,10.94,6.47,25.1783,hard
239,E,HS1316585,,5,20,6,-1.2589,189.0,14.2,6.44,25.1783,hard
240,E,HS1316585,,10,16,6,-2.5178,179.81,17.78,5.01,25.1783,hard
241,E,HS1316721,,15,4,24,-2.4953,120.69,17.49,4.75,16.6354,easy
242,E,HS1316721,,15,16,24,-2.4953,231.91,16.04,4.78,16.6354,easy
243,E,HS1316721,,15,8,18,-2.4953,201.88,14.07,4.36,16.6354,easy
244,E,HS1316721,,10,0,24,-1.6635,207.09,17.53,6.58,16.6354,medium
245,E,HS1316721,,10,4,18,-1.6635,247.67,17.11,3.08,16.6354,medium
246,E,HS1316721,,10,12,18,-1.6635,159.54,17.2,3.28,16.6354,medium
247,E,HS1316721,,10,8,12,-1.6635,151.92,17.25,3.0,16.6354,medium
248,E,HS1316721,,15,20,12,-2.4953,142.89,16.03,5.43,16.6354,medium
249,E,HS1316721,,5,0,12,-0.8318,257.9,16.97,2.07,16.6354,hard
250,E,HS1316721,,5,12,6,-0.8318,259.16,10.41,4.12,16.6354,hard
251,E,HS1316721,,5,20,6,-0.8318,170.01,16.22,3.07,16.6354,hard
252,E,HS1316721,,10,16,6,-1.6635,209.99,17.34,2.2,16.6354,hard
253,E,HS2003015,,15,4,24,-11.1268,206.64,15.5,4.08,74.1787,easy
254,E,HS2003015,,15,16,24,-11.1268,153.98,11.26,4.71,74.1787,easy
255,E,HS2003015,,15,8,18,-11.1268,134.27,16.2,5.82,74.1787,easy
256,E,HS2003015,,10,0,24,-7.4179,248.97,16.4,6.86,74.1787,medium
257,E,HS2003015,,10,4,18,-7.4179,233.15,13.67,4.59,74.1787,medium
258,E,HS2003015,,10,12,18,-7.4179,252.27,10.67,5.7,74.1787,medium
259,E,HS2003015,,10,8,12,-7.4179,127.95,11.74,6.94,74.1787,medium
260,E,HS2003015,,15,20,12,-11.1268,224.34,12.36,4.58,74.1787,medium
261,E,HS2003015,,5,0,12,-3.7089,216.56,12.02,4.47,74.1787,hard
262,E,HS2003015,,5,12,6,-3.7089,183.04,15.65,6.12,74.1787,hard
263,E,HS2003015,,5,20,6,-3.7089,166.25,13.77,6.52,74.1787,hard
264,E,HS2003015,,10,16,6,-7.4179,224.55,15.6,3.33,74.1787,hard
