defect_id,defect_type,node_id,link_id,intensity_pct,start_hour,duration_h,flow,BODf,NH4,DO,baseline_flow,curriculum_difficulty
80,I,HS1316563,,40,18,24,18.5761,150.66,14.35,5.1,46.4402,medium
81,I,HS1316563,,40,10,12,18.5761,221.04,12.13,3.93,46.4402,hard
82,I,HS1316563,,40,14,6,18.5761,228.56,14.57,2.45,46.4402,hard
83,I,HS1316563,,50,18,6,23.2201,177.22,13.25,5.99,46.4402,hard
84,I,HS1316563,,40,22,6,18.5761,172.98,10.53,3.37,46.4402,hard
85,I,HS1330842,,60,6,24,5.1701,203.96,14.29,5.19,8.6168,easy
86,I,HS1330842,,60,18,24,5.1701,212.77,12.48,6.22,8.6168,easy
87,I,HS1330842,,60,10,18,5.1701,136.35,15.3,4.68,8.6168,easy
88,I,HS1330842,,50,6,24,4.3084,124.46,14.55,5.15,8.6168,medium
89,I,HS1330842,,50,14,18,4.3084,200.04,16.71,5.13,8.6168,medium
90,I,HS1330842,,50,10,12,4.3084,221.45,11.18,5.73,8.6168,medium
91,I,HS1330842,,60,22,12,5.1701,169.37,15.3,3.18,8.6168,medium
92,I,HS1330842,,40,18,24,3.4467,129.56,13.59,3.27,8.6168,medium
93,I,HS1330842,,40,10,12,3.4467,138.1,10.08,2.41,8.6168,hard
94,I,HS1330842,,40,14,6,3.4467,234.72,14.85,4.54,8.6168,hard
95,I,HS1330842,,50,18,6,4.3084,120.53,16.33,2.58,8.6168,hard
96,I,HS1330842,,40,22,6,3.4467,192.95,14.06,3.16,8.6168,hard
97,I,HS2003046,,60,6,24,44.5183,174.99,11.59,3.72,74.1972,easy
98,I,HS2003046,,60,18,24,44.5183,138.16,14.52,4.63,74.1972,easy
99,I,HS2003046,,60,10,18,44.5183,137.71,11.5,6.34,74.1972,easy
100,I,HS2003046,,50,6,24,37.0986,209.25,17.1,6.85,74.1972,medium
101,I,HS2003046,,50,14,18,37.0986,254.66,14.32,5.64,74.1972,medium
102,I,HS2003046,,50,10,12,37.0986,205.39,12.14,6.44,74.1972,medium
103,I,HS2003046,,60,22,12,44.5183,225.71,13.37,6.0,74.1972,medium
104,I,HS2003046,,40,18,24,29.6789,206.58,15.93,5.38,74.1972,medium
105,I,HS2003046,,40,10,12,29.6789,164.88,10.95,6.51,74.1972,hard
106,I,HS2003046,,40,14,6,29.6789,124.99,12.19,2.4,74.1972,hard
107,I,HS2003046,,50,18,6,37.0986,129.64,11.85,6.7,74.1972,hard
108,I,HS2003046,,40,22,6,29.6789,160.35,17.34,3.32,74.1972,hard
109,I,HS2003085,,60,6,24,18.8357,212.23,17.27,4.42,31.3929,easy
110,I,HS2003085,,60,18,24,18.8357,221.56,14.45,6.5,31.3929,easy
111,I,HS2003085,,60,10,18,18.8357,215.62,11.5,3.84,31.3929,easy
112,I,HS2003085,,50,6,24,15.6965,254.67,17.67,3.92,31.3929,medium
113,I,HS2003085,,50,14,18,15.6965,228.48,13.26,6.46,31.3929,medium
114,I,HS2003085,,50,10,12,15.6965,246.16,11.29,6.62,31.3929,medium
115,I,HS2003085,,60,22,12,18.8357,226.87,13.27,3.7,31.3929,medium
116,I,HS2003085,,40,18,24,12.5572,150.52,16.82,5.9,31.3929,medium
117,I,HS2003085,,40,10,12,12.5572,258.55,12.01,3.9,31.3929,hard
118,I,HS2003085,,40,14,6,12.5572,210.6,10.55,5.84,31.3929,hard
119,I,HS2003085,,50,18,6,15.6965,202.66,13.2,3.13,31.3929,hard
120,I,HS2003085,,40,22,6,12.5572,148.9,11.06,6.36,31.3929,hard
121,I,HS2003111,,60,6,24,17.8327,159.18,14.56,5.89,29.7212,easy
122,I,HS2003111,,60,18,24,17.8327,212.01,17.49,3.89,29.7212,easy
123,I,HS2003111,,60,10,18,17.8327,242.05,15.21,2.28,29.7212,easy
124,I,HS2003111,,50,6,24,14.8606,145.75,15.42,3.56,29.7212,medium
125,I,HS2003111,,50,14,18,14.8606,149.15,17.16,3.49,29.7212,medium
126,I,HS2003111,,50,10,12,14.8606,252.61,16.67,6.45,29.7212,medium
127,I,HS2003111,,60,22,12,17.8327,221.07,16.98,6.55,29.7212,medium
128,I,HS2003111,,40,18,24,11.8885,148.08,11.3,2.43,29.7212,medium
129,I,HS2003111,,40,10,12,11.8885,161.87,15.77,6.14,29.7212,hard
130,I,HS2003111,,40,14,6,11.8885,215.29,10.62,3.04,29.7212,hard
131,I,HS2003111,,50,18,6,14.8606,144.69,12.36,5.64,29.7212,hard
132,I,HS2003111,,40,22,6,11.8885,152.58,12.66,3.35,29.7212,hard
133,I,MH0201710,,60,6,24,9.4276,125.44,16.46,6.13,15.7126,easy
134,I,MH0201710,,60,18,24,9.4276,228.15,12.75,2.45,15.7126,easy
135,I,MH0201710,,60,10,18,9.4276,146.38,12.79,4.59,15.7126,easy
136,I,MH0201710,,50,6,24,7.8563,187.49,10.12,5.11,15.7126,medium
137,I,MH0201710,,50,14,18,7.8563,206.06,13.69,6.87,15.7126,medium
138,I,MH0201710,,50,10,12,7.8563,254.86,15.6,6.62,15.7126,medium
139,I,MH0201710,,60,22,12,9.4276,131.24,14.95,4.83,15.7126,medium
140,I,MH0201710,,40,18,24,6.285,135.04,16.02,2.25,15.7126,medium
141,I,MH0201710,,40,10,12,6.285,131.61,14.32,2.04,15.7126,hard
142,I,MH0201710,,40,14,6,6.285,158.69,14.55,5.87,15.7126,hard
143,I,MH0201710,,50,18,6,7.8563,242.73,17.47,3.68,15.7126,hard
144,I,MH0201710,,40,22,6,6.285,155.43,15.16,6.04,15.7126,hard
145,E,HS1306601,,60,4,24,-86.3997,177.86,17.81,4.53,143.9995,easy
146,E,HS1306601,,60,16,24,-86.3997,211.6,15.66,6.41,143.9995,easy
147,E,HS1306601,,60,8,18,-86.3997,174.16,10.93,4.25,143.9995,easy
148,E,HS1306601,,50,0,24,-71.9998,137.56,12.8,5.93,143.9995,medium
149,E,HS1306601,,50,4,18,-71.9998,164.07,15.97,5.66,143.9995,medium
150,E,HS1306601,,50,12,18,-71.9998,254.02,15.18,4.34,143.9995,medium
151,E,HS1306601,,50,8,12,-71.9998,177.69,12.22,4.87,143.9995,medium
152,E,HS1306601,,60,20,12,-86.3997,185.71,15.95,3.59,143.9995,medium
153,E,HS1306601,,40,0,12,-57.5998,126.14,14.3,6.87,143.9995,hard
154,E,HS1306601,,40,12,6,-57.5998,178.89,14.29,6.47,143.9995,hard
155,E,HS1306601,,40,20,6,-57.5998,162.38,15.47,3.74,143.9995,hard
156,E,HS1306601,,50,16,6,-71.9998,177.62,16.57,3.34,143.9995,hard
157,E,HS1308259,,60,4,24,-7.3777,248.91,16.66,6.61,12.2961,easy
158,E,HS1308259,,60,16,24,-7.3777,177.68,10.9,4.7,12.2961,easy
159,E,HS1308259,,60,8,18,-7.3777,255.67,17.17,6.23,12.2961,easy
160,E,HS1308259,,50,0,24,-6.1481,215.72,10.11,6.61,12.2961,medium
161,E,HS1308259,,50,4,18,-6.1481,128.2,14.23,4.11,12.2961,medium
162,E,HS1308259,,50,12,18,-6.1481,232.91,11.67,2.75,12.2961,medium
163,E,HS1308259,,50,8,12,-6.1481,128.22,15.11,5.59,12.2961,medium
164,E,HS1308259,,60,20,12,-7.3777,221.64,10.28,6.16,12.2961,medium
165,E,HS1308259,,40,0,12,-4.9184,146.5,14.7,5.25,12.2961,hard
166,E,HS1308259,,40,12,6,-4.9184,141.58,17.96,2.2,12.2961,hard
167,E,HS1308259,,40,20,6,-4.9184,254.76,12.83,3.91,12.2961,hard
168,E,HS1308259,,50,16,6,-6.1481,166.95,17.4,5.74,12.2961,hard
169,E,HS1308302,,60,4,24,-16.7923,247.15,11.82,6.12,27.9871,easy
170,E,HS1308302,,60,16,24,-16.7923,146.65,13.35,2.68,27.9871,easy
171,E,HS1308302,,60,8,18,-16.7923,184.76,10.75,3.92,27.9871,easy
172,E,HS1308302,,50,0,24,-13.9936,255.45,17.18,5.04,27.9871,medium
173,E,HS1308302,,50,4,18,-13.9936,183.05,16.85,6.5,27.9871,medium
174,E,HS1308302,,50,12,18,-13.9936,251.64,13.52,3.24,27.9871,medium
175,E,HS1308302,,50,8,12,-13.9936,210.12,16.86,2.9,27.9871,medium
176,E,HS1308302,,60,20,12,-16.7923,173.38,13.83,3.5,27.9871,medium
177,E,HS1308302,,40,0,12,-11.1948,225.23,17.97,4.33,27.9871,hard
178,E,HS1308302,,40,12,6,-11.1948,252.35,13.03,2.09,27.9871,hard
179,E,HS1308302,,40,20,6,-11.1948,165.9,10.29,5.72,27.9871,hard
180,E,HS1308302,,50,16,6,-13.9936,249.17,15.67,5.44,27.9871,hard
181,E,HS1313402,,60,4,24,-61.7252,235.87,12.52,6.6,102.8754,easy
182,E,HS1313402,,60,16,24,-61.7252,222.83,13.2,4.99,102.8754,easy
183,E,HS1313402,,60,8,18,-61.7252,135.45,14.7,2.96,102.8754,easy
184,E,HS1313402,,50,0,24,-51.4377,237.6,12.15,3.72,102.8754,medium
185,E,HS1313402,,50,4,18,-51.4377,150.66,11.81,2.95,102.8754,medium
186,E,HS1313402,,50,12,18,-51.4377,179.18,10.5,5.13,102.8754,medium
187,E,HS1313402,,50,8,12,-51.4377,200.53,11.1,3.95,102.8754,medium
188,E,HS1313402,,60,20,12,-61.7252,196.85,14.26,4.73,102.8754,medium
189,E,HS1313402,,40,0,12,-41.1502,210.51,17.23,2.54,102.8754,hard
190,E,HS1313402,,40,12,6,-41.1502,176.11,11.72,6.47,102.8754,hard
191,E,HS1313402,,40,20,6,-41.1502,184.46,15.05,2.81,102.8754,hard
192,E,HS1313402,,50,16,6,-51.4377,199.94,10.11,3.02,102.8754,hard
193,E,HS1313597,,60,4,24,-3.3102,200.94,13.09,6.1,5.517,easy
194,E,HS1313597,,60,16,24,-3.3102,123.2,14.28,5.82,5.517,easy
195,E,HS1313597,,60,8,18,-3.3102,196.9,17.44,3.42,5.517,easy
196,E,HS1313597,,50,0,24,-2.7585,141.58,10.81,2.46,5.517,medium
197,E,HS1313597,,50,4,18,-2.7585,201.68,15.34,2.57,5.517,medium
198,E,HS1313597,,50,12,18,-2.7585,228.56,15.77,3.65,5.517,medium
199,E,HS1313597,,50,8,12,-2.7585,131.38,12.64,4.36,5.517,medium
200,E,HS1313597,,60,20,12,-3.3102,233.39,11.88,6.04,5.517,medium
201,E,HS1313597,,40,0,12,-2.2068,142.51,16.59,5.63,5.517,hard
202,E,HS1313597,,40,12,6,-2.2068,212.73,12.83,4.23,5.517,hard
203,E,HS1313597,,40,20,6,-2.2068,130.01,14.34,2.33,5.517,hard
204,E,HS1313597,,50,16,6,-2.7585,190.18,12.17,5.59,5.517,hard
205,E,HS1314505,,60,4,24,-15.0955,192.43,14.99,4.28,25.1591,easy
206,E,HS1314505,,60,16,24,-15.0955,250.36,14.38,5.05,25.1591,easy
207,E,HS1314505,,60,8,18,-15.0955,128.01,12.51,5.12,25.1591,easy
208,E,HS1314505,,50,0,24,-12.5796,129.21,11.58,2.25,25.1591,medium
209,E,HS1314505,,50,4,18,-12.5796,205.6,12.97,4.7,25.1591,medium
210,E,HS1314505,,50,12,18,-12.5796,158.18,11.68,6.73,25.1591,medium
211,E,HS1314505,,50,8,12,-12.5796,145.49,17.73,6.78,25.1591,medium
212,E,HS1314505,,60,20,12,-15.0955,126.47,17.24,3.58,25.1591,medium
213,E,HS1314505,,40,0,12,-10.0636,169.13,10.68,3.69,25.1591,hard
214,E,HS1314505,,40,12,6,-10.0636,222.4,10.72,2.37,25.1591,hard
215,E,HS1314505,,40,20,6,-10.0636,230.1,12.66,4.45,25.1591,hard
216,E,HS1314505,,50,16,6,-12.5796,219.57,14.85,5.74,25.1591,hard
217,E,HS1316202,,60,4,24,-45.5119,153.36,12.14,2.95,75.8532,easy
218,E,HS1316202,,60,16,24,-45.5119,258.33,13.69,5.56,75.8532,easy
219,E,HS1316202,,60,8,18,-45.5119,250.36,17.46,3.25,75.8532,easy
220,E,HS1316202,,50,0,24,-37.9266,134.51,13.0,4.61,75.8532,medium
221,E,HS1316202,,50,4,18,-37.9266,241.52,15.9,3.62,75.8532,medium
222,E,HS1316202,,50,12,18,-37.9266,128.78,13.17,2.23,75.8532,medium
223,E,HS1316202,,50,8,12,-37.9266,181.39,13.79,5.66,75.8532,medium
224,E,HS1316202,,60,20,12,-45.5119,156.27,12.8,5.07,75.8532,medium
225,E,HS1316202,,40,0,12,-30.3413,171.9,16.3,5.53,75.8532,hard
226,E,HS1316202,,40,12,6,-30.3413,187.84,10.79,5.87,75.8532,hard
227,E,HS1316202,,40,20,6,-30.3413,229.17,15.62,4.5,75.8532,hard
228,E,HS1316202,,50,16,6,-37.9266,131.26,10.46,2.78,75.8532,hard
229,E,HS1316585,,60,4,24,-15.107,249.61,17.07,6.48,25.1783,easy
230,E,HS1316585,,60,16,24,-15.107,208.39,13.64,3.29,25.1783,easy
231,E,HS1316585,,60,8,18,-15.107,174.37,13.14,5.17,25.1783,easy
232,E,HS1316585,,50,0,24,-12.5891,243.48,10.7,3.71,25.1783,medium
233,E,HS1316585,,50,4,18,-12.5891,139.08,15.97,2.85,25.1783,medium
234,E,HS1316585,,50,12,18,-12.5891,129.59,13.68,3.42,25.1783,medium
235,E,HS1316585,,50,8,12,-12.5891,200.99,14.82,6.97,25.1783,medium
236,E,HS1316585,,60,20,12,-15.107,256.68,13.59,6.68,25.1783,medium
237,E,HS1316585,,40,0,12,-10.0713,125.86,16.88,6.7,25.1783,hard
238,E,HS1316585,,40,12,6,-10.0713,174.72,10.94,6.47,25.1783,hard
239,E,HS1316585,,40,20,6,-10.0713,189.0,14.2,6.44,25.1783,hard
240,E,HS1316585,,50,16,6,-12.5891,179.81,17.78,5.01,25.1783,hard
241,E,HS1316721,,60,4,24,-9.9812,120.69,17.49,4.75,16.6354,easy
242,E,HS1316721,,60,16,24,-9.9812,231.91,16.04,4.78,16.6354,easy
243,E,HS1316721,,60,8,18,-9.9812,201.88,14.07,4.36,16.6354,easy
244,E,HS1316721,,50,0,24,-8.3177,207.09,17.53,6.58,16.6354,medium
245,E,HS1316721,,50,4,18,-8.3177,247.67,17.11,3.08,16.6354,medium
246,E,HS1316721,,50,12,18,-8.3177,159.54,17.2,3.28,16.6354,medium
247,E,HS1316721,,50,8,12,-8.3177,151.92,17.25,3.0,16.6354,medium
248,E,HS1316721,,60,20,12,-9.9812,142.89,16.03,5.43,16.6354,medium
249,E,HS1316721,,40,0,12,-6.6542,257.9,16.97,2.07,16.6354,hard
250,E,HS1316721,,40,12,6,-6.6542,259.16,10.41,4.12,16.6354,hard
251,E,HS1316721,,40,20,6,-6.6542,170.01,16.22,3.07,16.6354,hard
252,E,HS1316721,,50,16,6,-8.3177,209.99,17.34,2.2,16.6354,hard
253,E,HS2003015,,60,4,24,-44.5072,206.64,15.5,4.08,74.1787,easy
254,E,HS2003015,,60,16,24,-44.5072,153.98,11.26,4.71,74.1787,easy
255,E,HS2003015,,60,8,18,-44.5072,134.27,16.2,5.82,74.1787,easy
256,E,HS2003015,,50,0,24,-37.0894,248.97,16.4,6.86,74.1787,medium
257,E,HS2003015,,50,4,18,-37.0894,233.15,13.67,4.59,74.1787,medium
258,E,HS2003015,,50,12,18,-37.0894,252.27,10.67,5.7,74.1787,medium
259,E,HS2003015,,50,8,12,-37.0894,127.95,11.74,6.94,74.1787,medium
260,E,HS2003015,,60,20,12,-44.5072,224.34,12.36,4.58,74.1787,medium
261,E,HS2003015,,40,0,12,-29.6715,216.56,12.02,4.47,74.1787,hard
262,E,HS2003015,,40,12,6,-29.6715,183.04,15.65,6.12,74.1787,hard
263,E,HS2003015,,40,20,6,-29.6715,166.25,13.77,6.52,74.1787,hard
264,E,HS2003015,,50,16,6,-37.0894,224.55,15.6,3.33,74.1787,hard
