segment_id,segment_idx,link_id,from_node,to_node,length,diameter,slope,shape,material,baseline_mean_flow
seg_0094,94,2,HS1314477,1,400.0,1.0,9.999999999999786e-05,CIRCULAR,UNKNOWN,226.08175961311815
seg_0095,95,C_HS1313487_HS1313415,HS1313487,HS1313415,258.85,0.5,0.0014293992659841508,CIRCULAR,UNKNOWN,7.066580904698395
seg_0096,96,link_3,HS1313415,HS1313391,120.0,0.5,0.009941666666666679,CIRCULAR,UNKNOWN,9.039180341836278
seg_0097,97,link_4,HS1313534,MH0100292,90.0,0.5,0.0023555555555555526,CIRCULAR,UNKNOWN,1.3896912398143697
seg_0098,98,link_6,HS1313865,MH0100292,70.0,0.5,0.0050285714285714335,CIRCULAR,UNKNOWN,12.20258806518548
seg_0099,99,link_9,HS1313569,HS1313597,112.0,0.5,0.0033035714285714057,CIRCULAR,UNKNOWN,0.6212063582128804
seg_0100,100,link_10,HS1313597,HS1313794,117.0,0.5,0.010495726495726509,CIRCULAR,UNKNOWN,5.51428637764839
seg_0101,101,link_11,HS1313740,HS1313597,100.0,0.5,0.008299999999999983,CIRCULAR,UNKNOWN,1.9944101407318298
seg_0102,102,5,HS1316010,HS1313640,76.0,0.5,0.001157894736842118,CIRCULAR,UNKNOWN,0.9970011467771535
seg_0103,103,6,HS1313925,HS1313959,144.0,0.5,0.008125000000000012,CIRCULAR,UNKNOWN,2.0019075090754126
seg_0104,104,7,HS1313959,HS1316344,144.0,0.5,0.003333333333333336,CIRCULAR,UNKNOWN,8.715405321853469
seg_0105,105,8,HS1316344,HS1316267,125.0,0.5,0.005039999999999992,CIRCULAR,UNKNOWN,9.233798144102835
seg_0106,106,9,HS1316267,HS1316396,98.0,0.5,-0.012755102040816327,CIRCULAR,UNKNOWN,0.0
seg_0107,107,10,HS1316396,HS1316563,137.0,0.5,0.009489051094890516,CIRCULAR,UNKNOWN,0.0
seg_0108,108,11,HS1316334,HS1316302,121.0,0.5,0.011157024793388412,CIRCULAR,UNKNOWN,0.1424817367667345
seg_0109,109,12,HS1313205,HS1313220,132.0,0.5,0.0025378787878787674,CIRCULAR,UNKNOWN,13.308575656499887
seg_0110,110,13,HS1306601,HS1306904,222.8,0.6,0.0022262118491920943,RECT_CLOSED,UNKNOWN,110.64141929581056
seg_0111,111,14,HS1313044,HS1324403,23.0,0.5,0.004434782608695666,CIRCULAR,UNKNOWN,58.87782499437931
seg_0112,112,15,HS1324403,HS1318293,236.0,0.5,0.001915254237288143,CIRCULAR,UNKNOWN,62.646339340161504
seg_0113,113,16,HS1313676,HS1313298,185.0,0.5,0.0036486486486486526,CIRCULAR,UNKNOWN,21.582923954512076
seg_0114,114,17,HS1344920,HS1313676,60.0,0.5,0.013500000000000038,CIRCULAR,UNKNOWN,4.243669649698334
seg_0115,115,18,HS1311475,VP0232532,223.0,0.5,0.009058295964125574,CIRCULAR,UNKNOWN,1.440476565544608
seg_0116,116,19,HS1313025,HS1313044,112.5,0.5,0.0017600000000000035,CIRCULAR,UNKNOWN,22.206971641794187
seg_0117,117,20,HS1311473,HS1313001,191.0,0.5,0.012722513089005233,CIRCULAR,UNKNOWN,1.8508466582412268
seg_0118,118,21,HS1313001,HS1313025,198.0,0.5,0.0012121212121212043,CIRCULAR,UNKNOWN,7.044666544798324
seg_0119,119,22,HS1311284,HS1313001,130.0,0.5,0.0048461538461538655,CIRCULAR,UNKNOWN,1.308916568534076
seg_0120,120,23,HS1313253,HS1313167,134.0,0.5,0.002029850746268645,CIRCULAR,UNKNOWN,6.72761317715404
seg_0121,121,24,HS1313283,HS1313253,184.0,0.5,0.004239130434782615,CIRCULAR,UNKNOWN,6.665781133011509
seg_0122,122,25,MH0200661,MH0201710,357.0,0.6,0.0016246498599439827,CIRCULAR,UNKNOWN,3.449142340260115
seg_0123,123,26,HS1330842,HS1330826,182.0,0.5,-0.0002197802197802346,CIRCULAR,UNKNOWN,-3.5166970829567927
seg_0124,124,28,HS1316643,HS1316585,200.0,0.5,0.010489999999999994,CIRCULAR,UNKNOWN,11.077907907054051
seg_0125,125,29,HS1316677,HS1316467,96.0,0.5,0.009166666666666656,CIRCULAR,UNKNOWN,5.008137866750334
seg_0126,126,30,HS1316892,HS1316467,175.0,0.5,0.006971428571428565,CIRCULAR,UNKNOWN,2.459253055719315
seg_0127,127,31,HS1316707,HS1316721,107.0,0.5,0.012056074766355132,CIRCULAR,UNKNOWN,9.04346252659962
seg_0128,128,32,HS1316530,HS1308324,221.0,0.8,0.0009366515837104106,RECT_CLOSED,UNKNOWN,159.7961533529617
seg_0129,129,33,HS1308324,HS1314477,215.0,1.2,0.00167441860465116,RECT_CLOSED,UNKNOWN,208.57293721915917
seg_0130,130,34,HS1306471,HS1316811,154.0,0.5,0.009396103896103914,CIRCULAR,UNKNOWN,2.1413749934064823
seg_0131,131,35,HS1311339,HS1311887,460.0,0.5,0.0034130434782608703,CIRCULAR,UNKNOWN,5.9926453996706
seg_0132,132,36,HS1330842,YS2003067,166.0,0.5,0.006789156626506017,CIRCULAR,UNKNOWN,8.612667041586478
seg_0133,133,38,HS2003085,HS2003111,184.0,0.6,-0.0007663043478260967,RECT_CLOSED,UNKNOWN,-29.687865650289382
seg_0134,134,39,HS2003085,YS2003067,400.0,1.0,0.00047250000000000016,CIRCULAR,UNKNOWN,9.829636838528202
seg_0135,135,40,MH0100334,MH0100292,122.0,0.6,0.001254098360655756,RECT_CLOSED,UNKNOWN,15.10248804082335
seg_0136,136,41,HS1313640,MH0241587,200.0,0.5,0.007059999999999995,CIRCULAR,UNKNOWN,5.10546657643808
